source	web_link
musāvādasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/musāvādasikkhāpadaṃ/musāvādasikkhāpadaṃ.html
omasavādasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/omasavādasikkhāpadaṃ/omasavādasikkhāpadaṃ.html
pesuññasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/pesuññasikkhāpadaṃ/pesuññasikkhāpadaṃ.html
padasodhammasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/padasodhammasikkhāpadaṃ/padasodhammasikkhāpadaṃ.html
paṭhamasahaseyyasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/paṭhamasahaseyyasikkhāpadaṃ/paṭhamasahaseyyasikkhāpadaṃ.html
dutiyasahaseyyasikkhāpada	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/dutiyasahaseyyasikkhāpada/dutiyasahaseyyasikkhāpada.html
dhammadesanāsikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/dhammadesanāsikkhāpadaṃ/dhammadesanāsikkhāpadaṃ.html
bhūtārocanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/bhūtārocanasikkhāpadaṃ/bhūtārocanasikkhāpadaṃ.html
duṭṭhullārocanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/duṭṭhullārocanasikkhāpadaṃ/duṭṭhullārocanasikkhāpadaṃ.html
pathavīkhaṇanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/pathavīkhaṇanasikkhāpadaṃ/pathavīkhaṇanasikkhāpadaṃ.html
bhūtagāmasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/bhūtagāmasikkhāpadaṃ/bhūtagāmasikkhāpadaṃ.html
aññavādakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/aññavādakasikkhāpadaṃ/aññavādakasikkhāpadaṃ.html
ujjhāpanakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/ujjhāpanakasikkhāpadaṃ/ujjhāpanakasikkhāpadaṃ.html
paṭhamasenāsanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/paṭhamasenāsanasikkhāpadaṃ/paṭhamasenāsanasikkhāpadaṃ.html
dutiyasenāsanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/dutiyasenāsanasikkhāpadaṃ/dutiyasenāsanasikkhāpadaṃ.html
anupakhajjasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/anupakhajjasikkhāpadaṃ/anupakhajjasikkhāpadaṃ.html
nikkaḍḍhanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/nikkaḍḍhanasikkhāpadaṃ/nikkaḍḍhanasikkhāpadaṃ.html
vehāsakuṭisikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/vehāsakuṭisikkhāpadaṃ/vehāsakuṭisikkhāpadaṃ.html
mahallakavihārasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/mahallakavihārasikkhāpadaṃ/mahallakavihārasikkhāpadaṃ.html
sappāṇakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sappāṇakasikkhāpadaṃ/sappāṇakasikkhāpadaṃ.html
ovādasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/ovādasikkhāpadaṃ/ovādasikkhāpadaṃ.html
atthaṅgatasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/atthaṅgatasikkhāpadaṃ/atthaṅgatasikkhāpadaṃ.html
bhikkhunupassayasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/bhikkhunupassayasikkhāpadaṃ/bhikkhunupassayasikkhāpadaṃ.html
āmisasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/āmisasikkhāpadaṃ/āmisasikkhāpadaṃ.html
cīvaradānasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/cīvaradānasikkhāpadaṃ/cīvaradānasikkhāpadaṃ.html
cīvarasibbanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/cīvarasibbanasikkhāpadaṃ/cīvarasibbanasikkhāpadaṃ.html
saṃvidhānasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/saṃvidhānasikkhāpadaṃ/saṃvidhānasikkhāpadaṃ.html
nāvābhiruhanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/nāvābhiruhanasikkhāpadaṃ/nāvābhiruhanasikkhāpadaṃ.html
paripācitasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/paripācitasikkhāpadaṃ/paripācitasikkhāpadaṃ.html
